pathway,main_class,sub_class,source,confidence,created_at
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Signal Transduction,Insulin Signaling,REACTOME,0.9,2026-01-27T18:28:30.923350
Defects in cobalamin (B12) metabolism,Metabolism,Vitamin and Cofactor Metabolism,REACTOME,0.9,2026-01-27T18:28:30.996626
Presynaptic depolarization and calcium channel opening,Signal Transduction,Calcium Signaling,REACTOME,0.9,2026-01-27T18:28:31.074042
Mitochondrial translation elongation,Genetic Information Processing,Translation Elongation,REACTOME,0.9,2026-01-27T18:28:31.144863
Sema4D induced cell migration and growth-cone collapse,Cellular Processes,Cell Migration,REACTOME,0.9,2026-01-27T18:28:31.210576
Glucagon-type ligand receptors,Signal Transduction,Glucagon Signaling,REACTOME,0.9,2026-01-27T18:28:31.271439
Frs2-mediated activation,Signal Transduction,Growth Factor Signaling,REACTOME,0.9,2026-01-27T18:28:31.332392
HCMV Early Events,Disease Mechanisms,Viral Infection Response,REACTOME,0.9,2026-01-27T18:28:31.394546
PI Metabolism,Metabolism,Phospholipid Metabolism,REACTOME,0.9,2026-01-27T18:28:35.313597
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",Disease Mechanisms,Genetic Disorders,REACTOME,0.9,2026-01-27T18:28:35.380373
Insulin processing,Metabolism,Insulin Signaling,REACTOME,0.9,2026-01-27T18:28:35.446083
FRS-mediated FGFR2 signaling,Signal Transduction,FGFR Signaling,REACTOME,0.9,2026-01-27T18:28:35.514747
Opsins,Signal Transduction,Phototransduction,REACTOME,0.9,2026-01-27T18:28:35.588703
Activated NOTCH1 Transmits Signal to the Nucleus,Signal Transduction,Notch Signaling,REACTOME,0.9,2026-01-27T18:28:35.659773
HS-GAG degradation,Metabolism,Glycosaminoglycan Degradation,REACTOME,0.9,2026-01-27T18:28:35.727834
Formation of ATP by chemiosmotic coupling,Metabolism,Energy Metabolism,REACTOME,0.9,2026-01-27T18:28:35.788382
TGFBR1 LBD Mutants in Cancer,Cancer,Oncogenic Signaling,REACTOME,0.9,2026-01-27T18:28:39.620582
Resolution of Sister Chromatid Cohesion,Cell Cycle,Chromosome Segregation,REACTOME,0.9,2026-01-27T18:28:39.703486
WNT5:FZD7-mediated leishmania damping,Signal Transduction,Wnt Signaling,REACTOME,0.9,2026-01-27T18:28:39.776432
Rev-mediated nuclear export of HIV RNA,Genetic Information Processing,mRNA Splicing,REACTOME,0.9,2026-01-27T18:28:39.848985
Signaling by moderate kinase activity BRAF mutants,Cancer,Oncogenic Signaling,REACTOME,0.9,2026-01-27T18:28:39.911066
AXIN missense mutants destabilize the destruction complex,Cancer,Tumor Suppressor Pathways,REACTOME,0.9,2026-01-27T18:28:39.969500
Platelet homeostasis,Cellular Processes,Cell Adhesion,REACTOME,0.9,2026-01-27T18:28:40.034434
RHO GTPase Effectors,Signal Transduction,RHO GTPase Signaling,REACTOME,0.9,2026-01-27T18:28:40.112076
Defective SLC7A7 causes lysinuric protein intolerance (LPI),Disease Mechanisms,Metabolic Syndrome,REACTOME,0.9,2026-01-27T18:28:44.311632
Interleukin-9 signaling,Immune System,Cytokine Signaling,REACTOME,0.9,2026-01-27T18:28:44.375980
Axon guidance,Developmental Biology,Axon Guidance,REACTOME,0.9,2026-01-27T18:28:44.465228
Diseases of carbohydrate metabolism,Metabolism,Carbohydrate Metabolism,REACTOME,0.9,2026-01-27T18:28:44.567209
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,Genetic Information Processing,Transcriptional Regulation,REACTOME,0.9,2026-01-27T18:28:44.635340
Loss of Nlp from mitotic centrosomes,Cell Cycle,Centrosome Duplication,REACTOME,0.9,2026-01-27T18:28:44.704837
Cell Cycle Checkpoints,Cell Cycle,DNA Damage Checkpoint,REACTOME,0.9,2026-01-27T18:28:44.775048
Constitutive Signaling by Aberrant PI3K in Cancer,Cancer,Oncogenic Signaling,REACTOME,0.9,2026-01-27T18:28:44.846325
Cilium Assembly,Developmental Biology,Cilium Biogenesis,REACTOME,0.9,2026-01-27T18:28:51.092017
Folding of actin by CCT/TriC,Cellular Processes,Protein Folding,REACTOME,0.9,2026-01-27T18:28:51.160054
Competing endogenous RNAs (ceRNAs) regulate PTEN translation,Genetic Information Processing,Post-transcriptional Regulation,REACTOME,0.9,2026-01-27T18:28:51.226374
Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,Signal Transduction,Calcium Signaling,REACTOME,0.9,2026-01-27T18:28:51.284756
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Immune System,Cell-Cell Interactions,REACTOME,0.9,2026-01-27T18:28:51.344660
Signal transduction by L1,Signal Transduction,L1 Signaling Pathway,REACTOME,0.9,2026-01-27T18:28:51.410458
Platelet degranulation,Immune System,Platelet Activation,REACTOME,0.9,2026-01-27T18:28:51.466838
GRB2 events in ERBB2 signaling,Signal Transduction,ERBB2 Signaling Pathway,REACTOME,0.9,2026-01-27T18:28:51.535698
Tie2 Signaling,Signal Transduction,Tie2 Signaling Pathway,REACTOME,0.9,2026-01-27T18:28:55.528896
Inactivation of CDC42 and RAC1,Cell Cycle,Inhibition of Rho GTPase Activity,REACTOME,0.9,2026-01-27T18:28:55.605189
Signaling by Receptor Tyrosine Kinases,Signal Transduction,Receptor Tyrosine Kinase Signaling,REACTOME,0.9,2026-01-27T18:28:55.676759
G beta:gamma signalling through PLC beta,Signal Transduction,Phospholipase C Signaling,REACTOME,0.9,2026-01-27T18:28:55.739916
G-protein activation,Signal Transduction,G-Protein Coupled Receptor Activation,REACTOME,0.9,2026-01-27T18:28:55.802880
RAF-independent MAPK1/3 activation,Signal Transduction,MAPK Signaling Pathway,REACTOME,0.9,2026-01-27T18:28:55.867966
Nef Mediated CD4 Down-regulation,Immune System,CD4 Receptor Regulation,REACTOME,0.9,2026-01-27T18:28:55.928173
RHO GTPases Activate WASPs and WAVEs,Signal Transduction,Rho GTPase Activation of Actin Nucleators,REACTOME,0.9,2026-01-27T18:28:55.999499
Defective F9 activation,Immune System,Cytokine Signaling,REACTOME,0.9,2026-01-27T18:28:59.936105
Cytosolic sensors of pathogen-associated DNA,Immune System,Innate Immunity,REACTOME,0.9,2026-01-27T18:29:00.039493
Phase II - Conjugation of compounds,Metabolism,Xenobiotic Metabolism,REACTOME,0.9,2026-01-27T18:29:00.114409
Signaling by RNF43 mutants,Cancer,Oncogenic Signaling,REACTOME,0.9,2026-01-27T18:29:00.176372
Defective pyroptosis,Apoptosis,Inflammasome Activation,REACTOME,0.9,2026-01-27T18:29:00.240711
Formation of the Early Elongation Complex,Genetic Information Processing,Transcriptional Regulation,REACTOME,0.9,2026-01-27T18:29:00.309043
A tetrasaccharide linker sequence is required for GAG synthesis,Metabolism,Glycan Biosynthesis and Metabolism,REACTOME,0.9,2026-01-27T18:29:00.370677
RHO GTPases Activate Rhotekin and Rhophilins,Signal Transduction,Rho GTPase Signaling,REACTOME,0.9,2026-01-27T18:29:00.439043
Translesion synthesis by POLI,Genetic Information Processing,Transcriptional Regulation,REACTOME,0.9,2026-01-27T18:29:03.728340
Serotonin Neurotransmitter Release Cycle,Signal Transduction,Neurotransmitter Release,REACTOME,0.9,2026-01-27T18:29:03.815789
Detoxification of Reactive Oxygen Species,Environmental Information Processing,Oxidative Stress Response,REACTOME,0.9,2026-01-27T18:29:03.875273
SUMO E3 ligases SUMOylate target proteins,Cellular Processes,Protein Modification,REACTOME,0.9,2026-01-27T18:29:03.933131
Signaling by MAPK mutants,Signal Transduction,MAPK Signaling,REACTOME,0.9,2026-01-27T18:29:04.000326
Translesion synthesis by REV1,Genetic Information Processing,DNA Repair Mechanisms,REACTOME,0.9,2026-01-27T18:29:04.079563
Degradation of DVL,Cellular Processes,Protein Degradation,REACTOME,0.9,2026-01-27T18:29:04.145906
Drug-mediated inhibition of CDK4/CDK6 activity,Cell Cycle,Cyclin-Dependent Kinase Regulation,REACTOME,0.9,2026-01-27T18:29:04.211291
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,Cellular Processes,Endocytosis and Exocytosis,REACTOME,0.9,2026-01-27T18:29:08.908417
MECP2 regulates neuronal receptors and channels,Signal Transduction,Notch Signaling,REACTOME,0.9,2026-01-27T18:29:08.983611
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,Cellular Processes,Protein Folding and Chaperone Activity,REACTOME,0.9,2026-01-27T18:29:09.058502
Defective ABCG5 causes sitosterolemia,Disease Mechanisms,Metabolic Syndrome,REACTOME,0.9,2026-01-27T18:29:09.130434
ALKBH3 mediated reversal of alkylation damage,DNA Repair,Alkylation Damage Repair,REACTOME,0.9,2026-01-27T18:29:09.192121
Alpha-defensins,Immune System,Innate Immunity,REACTOME,0.9,2026-01-27T18:29:09.262218
Bicarbonate transporters,Metabolism,Ion Transport,REACTOME,0.9,2026-01-27T18:29:09.326984
Signaling by NOTCH4,Signal Transduction,Notch Signaling,REACTOME,0.9,2026-01-27T18:29:09.403344
SARS-CoV-2 targets host intracellular signalling and regulatory pathways,Signal Transduction,Viral Infection Response,REACTOME,0.9,2026-01-27T18:29:13.481145
PCNA-Dependent Long Patch Base Excision Repair,Genetic Information Processing,DNA Repair Mechanisms,REACTOME,0.9,2026-01-27T18:29:13.556752
Trafficking of AMPA receptors,Cellular Processes,Vesicle Transport,REACTOME,0.9,2026-01-27T18:29:13.634948
CDC6 association with the ORC:origin complex,Cell Cycle,DNA Replication Initiation,REACTOME,0.9,2026-01-27T18:29:13.701398
Interaction With Cumulus Cells And The Zona Pellucida,Developmental Biology,Gamete Interaction,REACTOME,0.9,2026-01-27T18:29:13.772908
Signaling by WNT in cancer,Cancer,Oncogenic Signaling,REACTOME,0.9,2026-01-27T18:29:13.837060
Acyl chain remodelling of PI,Metabolism,Lipid Metabolism,REACTOME,0.9,2026-01-27T18:29:13.902958
Proton-coupled monocarboxylate transport,Metabolism,Transport Mechanisms,REACTOME,0.9,2026-01-27T18:29:13.963200
"Sensory perception of sweet, bitter, and umami (glutamate) taste",Environmental Information Processing,Sensory Signal Transduction,REACTOME,0.9,2026-01-27T18:29:18.319674
Telomere C-strand synthesis initiation,Genetic Information Processing,DNA Replication,REACTOME,0.9,2026-01-27T18:29:18.392127
Phosphorylation of CD3 and TCR zeta chains,Immune System,T Cell Receptor Signaling,REACTOME,0.9,2026-01-27T18:29:18.458643
Regulation of TP53 Activity through Phosphorylation,Cancer,Tumor Suppressor Pathways,REACTOME,0.9,2026-01-27T18:29:18.517261
O-glycosylation of TSR domain-containing proteins,Cellular Processes,Protein Glycosylation,REACTOME,0.9,2026-01-27T18:29:18.590857
Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus,Cellular Processes,Vesicle Transport,REACTOME,0.9,2026-01-27T18:29:18.659951
Defective GALNT3 causes HFTC,Disease Mechanisms,Genetic Disorders,REACTOME,0.9,2026-01-27T18:29:18.730267
Synthesis of 12-eicosatetraenoic acid derivatives,Metabolism,Lipid Metabolism,REACTOME,0.9,2026-01-27T18:29:18.799606
Maturation of spike protein,Genetic Information Processing,mRNA Splicing,REACTOME,0.9,2026-01-27T18:29:22.562689
Transport of Mature mRNA derived from an Intron-Containing Transcript,Genetic Information Processing,mRNA Transport,REACTOME,0.9,2026-01-27T18:29:22.634581
Inactivation of APC/C via direct inhibition of the APC/C complex,Cell Cycle,M Phase Control,REACTOME,0.9,2026-01-27T18:29:22.703247
Citric acid cycle (TCA cycle),Metabolism,Energy Metabolism,REACTOME,0.9,2026-01-27T18:29:22.771171
Nectin/Necl  trans heterodimerization,Signal Transduction,Cell Adhesion,REACTOME,0.9,2026-01-27T18:29:22.851154
Ion channel transport,Cellular Processes,Ion Transport,REACTOME,0.9,2026-01-27T18:29:22.930940
Formation of RNA Pol II elongation complex,Genetic Information Processing,Transcriptional Regulation,REACTOME,0.9,2026-01-27T18:29:23.005048
Signaling by BRAF and RAF1 fusions,Cancer,Oncogenic Signaling,REACTOME,0.9,2026-01-27T18:29:23.075132
InlB-mediated entry of Listeria monocytogenes into host cell,Immune System,Innate Immunity,REACTOME,0.9,2026-01-27T18:29:26.340052
Metabolism of RNA,Genetic Information Processing,RNA Editing and Processing,REACTOME,0.9,2026-01-27T18:29:26.413214
Growth hormone receptor signaling,Signal Transduction,Growth Factor Signaling,REACTOME,0.9,2026-01-27T18:29:26.482658
Classical antibody-mediated complement activation,Immune System,Complement Cascade,REACTOME,0.9,2026-01-27T18:29:26.550542
SLC-mediated transmembrane transport,Cellular Processes,Transmembrane Transport,REACTOME,0.9,2026-01-27T18:29:26.623487
Metabolism of proteins,Metabolism,Protein Metabolism,REACTOME,0.9,2026-01-27T18:29:26.690914
RHO GTPases activate PAKs,Signal Transduction,RHO GTPase Signaling,REACTOME,0.9,2026-01-27T18:29:26.759835
Small interfering RNA (siRNA) biogenesis,Genetic Information Processing,RNA Interference,REACTOME,0.9,2026-01-27T18:29:26.827786
Fatty acid metabolism,Metabolism,Fatty Acid Metabolism,REACTOME,0.9,2026-01-27T18:29:30.442471
G-protein beta:gamma signalling,Signal Transduction,GPCR Signaling,REACTOME,0.9,2026-01-27T18:29:30.509507
Ficolins bind to repetitive carbohydrate structures on the target cell surface,Immune System,Pattern Recognition Receptor Signaling,REACTOME,0.9,2026-01-27T18:29:30.572450
Serotonin receptors,Signal Transduction,Serotonin Receptor Signaling,REACTOME,0.9,2026-01-27T18:29:30.649380
Reversal of alkylation damage by DNA dioxygenases,Genetic Information Processing,DNA Repair Mechanisms,REACTOME,0.9,2026-01-27T18:29:30.716847
NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis,Metabolism,Bile Acid Metabolism,REACTOME,0.9,2026-01-27T18:29:30.784132
Keratinization,Developmental Biology,Keratinocyte Differentiation,REACTOME,0.9,2026-01-27T18:29:30.849073
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,Immune System,B Cell Receptor Signaling,REACTOME,0.9,2026-01-27T18:29:30.913157
SARS-CoV-1 modulates host translation machinery,Disease Mechanisms,Viral Infection Response,REACTOME,0.9,2026-01-27T18:29:34.364635
Zinc influx into cells by the SLC39 gene family,Cellular Processes,Ion Transport,REACTOME,0.9,2026-01-27T18:29:34.433688
Eicosanoids,Metabolism,Lipid Metabolism,REACTOME,0.9,2026-01-27T18:29:34.504257
Nef mediated downregulation of MHC class I complex cell surface expression,Immune System,Antigen Presentation,REACTOME,0.9,2026-01-27T18:29:34.580650
Heme degradation,Metabolism,Heme Metabolism,REACTOME,0.9,2026-01-27T18:29:34.648488
MyD88 deficiency (TLR2/4),Immune System,Innate Immunity,REACTOME,0.9,2026-01-27T18:29:34.711355
Transcriptional Regulation by TP53,Genetic Information Processing,Transcriptional Regulation,REACTOME,0.9,2026-01-27T18:29:34.781956
Antigen processing: Ubiquitination & Proteasome degradation,Immune System,Antigen Presentation,REACTOME,0.9,2026-01-27T18:29:34.865333
Aggrephagy,Cellular Processes,Autophagy,REACTOME,0.9,2026-01-27T18:29:40.853986
Synaptic adhesion-like molecules,Cellular Processes,Cell Adhesion,REACTOME,0.9,2026-01-27T18:29:40.926843
ISG15 antiviral mechanism,Immune System,Interferon Signaling,REACTOME,0.9,2026-01-27T18:29:40.996091
Alanine metabolism,Metabolism,Amino Acid Metabolism,REACTOME,0.9,2026-01-27T18:29:41.066384
The fatty acid cycling model,Metabolism,Lipid Metabolism,REACTOME,0.9,2026-01-27T18:29:41.138927
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,Genetic Information Processing,DNA Repair,REACTOME,0.9,2026-01-27T18:29:41.211077
Chromatin modifying enzymes,Genetic Information Processing,Chromatin Modification,REACTOME,0.9,2026-01-27T18:29:41.276169
Inositol transporters,Cellular Processes,Vesicle Transport,REACTOME,0.9,2026-01-27T18:29:41.340435
NS1 Mediated Effects on Host Pathways,🦠 Disease Mechanisms,Viral Infection Response,REACTOME,0.9,2026-01-27T18:29:45.220520
Formation of TC-NER Pre-Incision Complex,📚 Genetic Information Processing,DNA Repair Mechanisms,REACTOME,0.9,2026-01-27T18:29:45.300125
Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK),📡 Signal Transduction,Ion Channel Regulation,REACTOME,0.9,2026-01-27T18:29:45.369066
Phase 3 - rapid repolarisation,📡 Signal Transduction,Cardiac Action Potential Regulation,REACTOME,0.9,2026-01-27T18:29:45.433874
NRAGE signals death through JNK,☠️ Apoptosis,JNK-Mediated Cell Death,REACTOME,0.9,2026-01-27T18:29:45.507633
Vitamin D (calciferol) metabolism,🧬 Metabolism,Vitamin and Cofactor Metabolism,REACTOME,0.9,2026-01-27T18:29:45.577785
Interleukin-37 signaling,🛡️ Immune System,Cytokine Signaling,REACTOME,0.9,2026-01-27T18:29:45.646222
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),📚 Genetic Information Processing,mRNA Surveillance Mechanisms,REACTOME,0.9,2026-01-27T18:29:45.717164
DNA Damage Bypass,Genetic Information Processing,DNA Repair Mechanisms,REACTOME,0.9,2026-01-27T18:29:49.055497
G1/S-Specific Transcription,Cell Cycle,G1/S Transition,REACTOME,0.9,2026-01-27T18:29:49.138710
SARS-CoV-1 targets host intracellular signalling and regulatory pathways,Signal Transduction,Viral Infection Response,REACTOME,0.9,2026-01-27T18:29:49.210660
KEAP1-NFE2L2 pathway,Environmental Information Processing,Oxidative Stress Response,REACTOME,0.9,2026-01-27T18:29:49.271406
NOTCH1 Intracellular Domain Regulates Transcription,Signal Transduction,Notch Signaling,REACTOME,0.9,2026-01-27T18:29:49.333411
COPI-dependent Golgi-to-ER retrograde traffic,Cellular Processes,Vesicle Transport,REACTOME,0.9,2026-01-27T18:29:49.405597
Signaling by ERBB4,Signal Transduction,ERBB Signaling,REACTOME,0.9,2026-01-27T18:29:49.474594
Translocation of SLC2A4 (GLUT4) to the plasma membrane,Cellular Processes,Endocytosis and Exocytosis,REACTOME,0.9,2026-01-27T18:29:49.544815
ECM proteoglycans,Cellular Processes,Cell Adhesion,REACTOME,0.9,2026-01-27T18:29:52.682916
Purine ribonucleoside monophosphate biosynthesis,Metabolism,Nucleotide Metabolism,REACTOME,0.9,2026-01-27T18:29:52.751950
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,Signal Transduction,Notch Signaling,REACTOME,0.9,2026-01-27T18:29:52.819307
Integrin cell surface interactions,Cellular Processes,Cell Adhesion,REACTOME,0.9,2026-01-27T18:29:52.875819
Respiratory electron transport,Metabolism,Energy Metabolism,REACTOME,0.9,2026-01-27T18:29:52.944731
CD28 dependent Vav1 pathway,Signal Transduction,T Cell Receptor Signaling,REACTOME,0.9,2026-01-27T18:29:53.016071
Synthesis of Leukotrienes (LT) and Eoxins (EX),Immune System,Leukotriene Signaling,REACTOME,0.9,2026-01-27T18:29:53.081764
"Sodium-coupled sulphate, di- and tri-carboxylate transporters",Metabolism,Ion Transport,REACTOME,0.9,2026-01-27T18:29:53.150395
Protein-protein interactions at synapses,Signal Transduction,Protein-Protein Interaction Signaling,REACTOME,0.9,2026-01-27T18:29:57.875028
Estrogen-dependent gene expression,Genetic Information Processing,Transcriptional Regulation,REACTOME,0.9,2026-01-27T18:29:57.942124
Hedgehog off state,Signal Transduction,Hedgehog Signaling,REACTOME,0.9,2026-01-27T18:29:58.016732
IRAK4 deficiency (TLR2/4),Immune System,Toll-like Receptor Signaling,REACTOME,0.9,2026-01-27T18:29:58.087904
Factors involved in megakaryocyte development and platelet production,Developmental Biology,Megakaryocyte Differentiation,REACTOME,0.9,2026-01-27T18:29:58.171930
Synthesis of IP3 and IP4 in the cytosol,Signal Transduction,Phosphoinositide Signaling,REACTOME,0.9,2026-01-27T18:29:58.240190
SUMOylation of transcription cofactors,Genetic Information Processing,Post-Translational Modification,REACTOME,0.9,2026-01-27T18:29:58.301585
"Cell Cycle, Mitotic",Cell Cycle,M Phase Control,REACTOME,0.9,2026-01-27T18:29:58.376024
Resolution of Abasic Sites (AP sites),Genetic Information Processing,DNA Repair Mechanisms,REACTOME,0.9,2026-01-27T18:30:01.956588
Cleavage of the damaged pyrimidine,Genetic Information Processing,DNA Repair Mechanisms,REACTOME,0.9,2026-01-27T18:30:02.044359
Dopamine receptors,Signal Transduction,GPCR Signaling,REACTOME,0.9,2026-01-27T18:30:02.113772
Plasma lipoprotein remodeling,Metabolism,Lipid Metabolism,REACTOME,0.9,2026-01-27T18:30:02.178585
Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,Metabolism,Amino Acid Metabolism,REACTOME,0.9,2026-01-27T18:30:02.236958
"Gamma carboxylation, hypusine formation and arylsulfatase activation",Metabolism,Vitamin and Cofactor Metabolism,REACTOME,0.9,2026-01-27T18:30:02.301624
"Transport of vitamins, nucleosides, and related molecules",Metabolism,Nutrient Transport,REACTOME,0.9,2026-01-27T18:30:02.359863
Signaling by PDGF,Signal Transduction,PDGF Signaling,REACTOME,0.9,2026-01-27T18:30:02.422893
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,Genetic Information Processing,Transcriptional Regulation,REACTOME,0.9,2026-01-27T18:30:05.880620
The proton buffering model,Cellular Processes,pH Regulation,REACTOME,0.9,2026-01-27T18:30:05.944788
N-Glycan antennae elongation,Cellular Processes,Glycan Biosynthesis and Metabolism,REACTOME,0.9,2026-01-27T18:30:06.017182
PRC2 methylates histones and DNA,Genetic Information Processing,Chromatin Modification,REACTOME,0.9,2026-01-27T18:30:06.085671
Signaling by activated point mutants of FGFR3,Cancer,Oncogenic Signaling,REACTOME,0.9,2026-01-27T18:30:06.160518
GTP hydrolysis and joining of the 60S ribosomal subunit,Genetic Information Processing,Translation Initiation,REACTOME,0.9,2026-01-27T18:30:06.225863
Attenuation phase,Cellular Processes,Gene Expression Regulation,REACTOME,0.9,2026-01-27T18:30:06.291401
L13a-mediated translational silencing of Ceruloplasmin expression,Genetic Information Processing,mRNA Splicing,REACTOME,0.9,2026-01-27T18:30:06.352690
NoRC negatively regulates rRNA expression,Genetic Information Processing,Transcriptional Regulation,REACTOME,0.9,2026-01-27T18:30:10.129635
Homologous DNA Pairing and Strand Exchange,Genetic Information Processing,DNA Repair,REACTOME,0.9,2026-01-27T18:30:10.205702
AMPK inhibits chREBP transcriptional activation activity,Metabolism,Energy Metabolism,REACTOME,0.9,2026-01-27T18:30:10.273610
Cargo recognition for clathrin-mediated endocytosis,Cellular Processes,Endocytosis and Exocytosis,REACTOME,0.9,2026-01-27T18:30:10.347335
Synthesis of DNA,Genetic Information Processing,DNA Replication,REACTOME,0.9,2026-01-27T18:30:10.422543
Activation of SMO,Signal Transduction,Hedgehog Signaling,REACTOME,0.9,2026-01-27T18:30:10.500770
G alpha (q) signalling events,Signal Transduction,G Protein-Coupled Receptor Signaling,REACTOME,0.9,2026-01-27T18:30:10.574561
IRAK1 recruits IKK complex,Signal Transduction,NF-kappa B Signaling,REACTOME,0.9,2026-01-27T18:30:10.644841
IKBKB deficiency causes SCID,Immune System,T Cell Receptor Signaling,REACTOME,0.9,2026-01-27T18:30:14.672537
Pre-NOTCH Processing in Golgi,Developmental Biology,Notch Signaling,REACTOME,0.9,2026-01-27T18:30:14.741981
Carboxyterminal post-translational modifications of tubulin,Cellular Processes,Post-Translational Modifications,REACTOME,0.9,2026-01-27T18:30:14.803743
Toxicity of botulinum toxin type D (botD),Disease Mechanisms,Neurotoxin Mechanisms,REACTOME,0.9,2026-01-27T18:30:14.860186
TCR signaling,Immune System,T Cell Receptor Signaling,REACTOME,0.9,2026-01-27T18:30:14.927215
Response of EIF2AK4 (GCN2) to amino acid deficiency,Metabolism,Amino Acid Metabolism,REACTOME,0.9,2026-01-27T18:30:14.991407
RHO GTPases activate KTN1,Signal Transduction,RHO GTPase Signaling,REACTOME,0.9,2026-01-27T18:30:15.059279
Autodegradation of Cdh1 by Cdh1:APC/C,Cell Cycle,Ubiquitin-Mediated Degradation,REACTOME,0.9,2026-01-27T18:30:15.135946
Opioid Signalling,Signal Transduction,Opioid Receptor Signaling,REACTOME,0.9,2026-01-27T18:30:19.024233
Induction of Cell-Cell Fusion,Cellular Processes,Cell Fusion Mechanisms,REACTOME,0.9,2026-01-27T18:30:19.102302
Negative regulation of FGFR4 signaling,Signal Transduction,FGFR Signaling Regulation,REACTOME,0.9,2026-01-27T18:30:19.176637
Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,Signal Transduction,Calcium Signaling in Neurons,REACTOME,0.9,2026-01-27T18:30:19.242546
Interleukin-23 signaling,Immune System,Cytokine Signaling Pathways,REACTOME,0.9,2026-01-27T18:30:19.309146
Intracellular signaling by second messengers,Signal Transduction,Second Messenger Signaling,REACTOME,0.9,2026-01-27T18:30:19.378034
Cytosolic sulfonation of small molecules,Metabolism,Sulfonation of Xenobiotics,REACTOME,0.9,2026-01-27T18:30:19.442359
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Metabolism,Fatty Acid Beta-Oxidation,REACTOME,0.9,2026-01-27T18:30:19.525930
Maturation of nucleoprotein,Genetic Information Processing,mRNA Splicing,REACTOME,0.9,2026-01-27T18:30:22.981782
HCN channels,Cellular Processes,Ion Channel Regulation,REACTOME,0.9,2026-01-27T18:30:23.065120
Organelle biogenesis and maintenance,Cellular Processes,Organelle Organization,REACTOME,0.9,2026-01-27T18:30:23.131554
Telomere Extension By Telomerase,Genetic Information Processing,DNA Replication,REACTOME,0.9,2026-01-27T18:30:23.208282
Loss of phosphorylation of MECP2 at T308,Signal Transduction,Phosphorylation Regulation,REACTOME,0.9,2026-01-27T18:30:23.287009
Aspirin ADME,Metabolism,Drug Metabolism,REACTOME,0.9,2026-01-27T18:30:23.348011
LGI-ADAM interactions,Signal Transduction,Protein-Protein Interactions,REACTOME,0.9,2026-01-27T18:30:23.413664
Metalloprotease DUBs,Cellular Processes,Protein Deubiquitination,REACTOME,0.9,2026-01-27T18:30:23.502295
Elevation of cytosolic Ca2+ levels,Signal Transduction,Calcium Signaling,REACTOME,0.9,2026-01-27T18:30:27.511589
RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,Developmental Biology,Keratinocyte Differentiation,REACTOME,0.9,2026-01-27T18:30:27.583804
Disease,Disease Mechanisms,Inflammation-Driven Pathology,REACTOME,0.9,2026-01-27T18:30:27.652142
TNFR1-induced NFkappaB signaling pathway,Signal Transduction,NF-kappa B Signaling,REACTOME,0.9,2026-01-27T18:30:27.714280
Regulation of RAS by GAPs,Signal Transduction,RAS Regulation,REACTOME,0.9,2026-01-27T18:30:27.779013
Clathrin-mediated endocytosis,Cellular Processes,Endocytosis,REACTOME,0.9,2026-01-27T18:30:27.848906
Proton/oligopeptide cotransporters,Metabolism,Amino Acid Metabolism,REACTOME,0.9,2026-01-27T18:30:27.916477
Caspase-mediated cleavage of cytoskeletal proteins,Apoptosis,Caspase Cascade,REACTOME,0.9,2026-01-27T18:30:27.980043
Regulation of expression of SLITs and ROBOs,Developmental Biology,Neural Development,REACTOME,0.9,2026-01-27T18:30:31.627572
Biosynthesis of DPAn-3-derived maresins,Metabolism,Lipid Metabolism,REACTOME,0.9,2026-01-27T18:30:31.703841
Regulation of cholesterol biosynthesis by SREBP (SREBF),Metabolism,Cholesterol Metabolism,REACTOME,0.9,2026-01-27T18:30:31.769916
Sodium/Calcium exchangers,Cellular Processes,Ion Transport,REACTOME,0.9,2026-01-27T18:30:31.837004
G0 and Early G1,Cell Cycle,G1/S Transition,REACTOME,0.9,2026-01-27T18:30:31.901668
Attachment of GPI anchor to uPAR,Cellular Processes,Cell Adhesion,REACTOME,0.9,2026-01-27T18:30:31.965749
Signaling by Nuclear Receptors,Signal Transduction,Nuclear Receptor Signaling,REACTOME,0.9,2026-01-27T18:30:32.038501
