Gene,fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841_log2FC,fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841_p-value,fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841_adj-p-value,Status,Normalized_Gene,HGNC_Synonyms,Patient_LFC_mean,Cohort_LFC_mean,Patient_LFC_Trend,Cohort_LFC_Trend,Trend_Consensus,DCS,CSC,CFC,keep,novel,JL_score,CGC,Gene_Score,Disorder_Score,Disorder_Type,PPI_Degree,PPI_Avg_Score,PPI_Score,Composite_Score,Tier,Non_CGC_Composite_Score,Non_CGC_Tier,Rank,Score,Confidence,Justification
CDK15,1.95491,0.0231423,0.301964,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CDK15,ALS2CR7;PFTAIRE2;PFTK2,1.95491,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.549,0.549,0.00691456268634102,Tier 3,0.00691456268634102,Tier 3,256,36.0,Medium,"CDK15 is upregulated in the cohort (Patient_LFC_mean=1.95491, adj_P_value=NA) and is a kinase with limited network connectivity (PPI_Degree=1), but it lacks disease specificity to lupus and has no SLE clinical evidence. Scoring breakdown — Disease specificity: 20 (low); Patient signal: 60 (50–69, |LFC|≈1.95, p=NA); Functional: 60 (50–69, some evidence, PPI_Degree=1); Clinical: 10 (0–29, no SLE clinical role); Evidence: 15 (0–29, minimal SLE support)."
MRPL27,-1.1425,0.0067376,0.173181,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,MRPL27,L27mt;bL27m,-1.1425,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,8.0,0.815875,6.527,0.03817260004783951,Tier 3,0.03817260004783951,Tier 3,257,36.0,Low,"Disease: 15 (0-39, not implicated in lupus). Patient signal: 55 (50-69) with |LFC|=1.1425, adj P=NA (LFC ≥1 but p‑value missing). Functional: 75 (70-89) — mitochondrial ribosomal protein with PPI_Degree=8 indicating moderate network connectivity but not immune specificity. Clinical: 10 (0-29, no SLE clinical relevance). Evidence: 10 (0-29, minimal lupus literature)."
TLE3,1.18215,5.81117e-05,0.015784,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,TLE3,ESG;ESG3;GRG3;HsT18976,1.18215,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,2.0,0.548,1.096,0.0157131759509233,Tier 3,0.0157131759509233,Tier 3,258,36.0,Low,"Disease: 25 (0-39 — not annotated as lupus-relevant). Patient signal: 55 (50-69) — |LFC|=1.182, adj_P_value=NA, CSC=0. Functional: 55 (50-69) — PPI_Degree=2 indicating modest interaction potential. Clinical: 10 (0-29 — no SLE-specific clinical relevance). Evidence: 10 (0-29 — sparse direct evidence for SLE). Overall weighted sub-scores used: Disease=25, Patient=55, Functional=55, Clinical=10, Evidence=10."
NDUFB6,1.78848,4.70617e-08,7.30214e-05,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,NDUFB6,B17;CI,1.78848,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,6.0,0.722,4.332,0.05402036438097155,Tier 3,0.05402036438097155,Tier 3,259,36.0,Low,"Disease specificity: 20 (0-39, mitochondrial complex I subunit not SLE-specific). Patient signal: 60 (|LFC|=1.78848, patient_adj_P_value=NA; elevated fold-change but p-value missing). Functional: 55 (PPI_Degree=6, mitochondrial respiratory chain component with cellular importance but not immune-specific). Clinical: 15 (15-29, no SLE-targeted therapeutics). Evidence: 10 (10-29, minimal evidence linking this gene to lupus pathology)."
CNST,-1.20146,0.00198406,0.0969556,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CNST,C1orf71;PPP1R64,-1.20146,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,3.0,0.8533333333333334,2.56,0.01677314394817537,Tier 3,0.01677314394817537,Tier 3,260,36.0,Low,"Disease specificity = 20 (0-39: no known lupus association; NA Gene_Score/Disorder_Score). Patient signal = 60 (25% bracket: |LFC|=1.20146 meets ≥1 threshold; Patient_adj_P_value = NA). Functional = 60 (20% bracket: PPI_Degree=3, moderate connectivity; CNST is a membrane/trafficking protein). Clinical = 10 (15% bracket: no clinical SLE target/biomarker). Evidence = 10 (5%: minimal lupus literature)."
RPL35A,-1.0128,0.00282393,0.112989,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,RPL35A,DBA5;L35A;eL33,-1.0128,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,6.0,0.7513333333333333,4.508,0.029421961043640033,Tier 3,0.029421961043640033,Tier 3,261,36.0,Medium,"Disease: Low (15/100) — not disease-specific for lupus. Patient signal: Moderate (60/100), Patient_LFC_mean=-1.0128, adj_P_value=NA. Functional: Moderate (70/100) with PPI_Degree=6 consistent with ribosomal protein network involvement. Clinical: Low (10/100) with no current SLE-targeted interventions. Evidence: Low (10/100) — limited lupus-focused publications."
CPA3,1.69737,0.000296596,0.0391448,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CPA3,MC-CPA,1.69737,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.591,0.591,0.012156291596328202,Tier 3,0.012156291596328202,Tier 3,262,36.0,Low,"Disease: Low (0-39) — disease specificity subscore 20 (primarily a mast cell protease, not a core SLE gene). Patient Signal: Moderate (50-69) — subscore 60 with |LFC|=1.69737 (adj P_value=NA); Function: Moderate (50-69) — subscore 55 with PPI_Degree=1 indicating limited interactome support; Clinical: Low (0-29) — subscore 10 (no SLE therapeutics/biomarker role); Evidence: Limited (20) — subscore 20. Overall weighted composite = 36."
TMCC2,-1.29052,0.0397473,0.376092,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,TMCC2,HUCEP11,-1.29052,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.645,0.645,0.005124614870181871,Tier 3,0.005124614870181871,Tier 3,263,36.0,Low,"Disease: 25 (0-39 — not a recognized lupus gene). Patient signal: 60 (50-69) — |LFC|=1.291, adj_P_value=NA, CSC=0. Functional: 50 (50-69) — PPI_Degree=1, limited interaction data. Clinical: 10 (0-29 — no therapeutic or biomarker role in SLE). Evidence: 10 (0-29 — minimal literature linking to autoimmunity). Overall weighted sub-scores used: Disease=25, Patient=60, Functional=50, Clinical=10, Evidence=10."
DENND1B,1.14101,0.000924719,0.0676438,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,DENND1B,C1ORF18;C1orf218;FAM31B,1.14101,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0035842370248695197,Tier 3,0.0035842370248695197,Tier 3,264,36.0,Medium,"Disease specificity: Low (20/100) — DENND1B is not in the curated SLE gene list. Patient signal: Moderate (55/100) — |LFC|=1.141 (Patient_LFC_mean=1.14101), adjusted p-value=NA, CSC=0, DCS=-1, meeting the |LFC|≥1 threshold. Functional: Some evidence (60/100) — a DENN-domain guanine nucleotide exchange factor implicated in endosomal trafficking and immune cell signaling (PPI_Degree=NA). Clinical: Minimal (10/100) — no established lupus therapeutic targeting. Evidence: Limited-to-moderate (40/100) — some immune association reports (e.g., asthma) but sparse lupus-specific literature."
MELK,1.07079,0.00303044,0.116945,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,MELK,HPK38,1.07079,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,3.0,0.7573333333333334,2.2720000000000002,0.01593424463678919,Tier 3,0.01593424463678919,Tier 3,265,36.0,Low,"Disease specificity: Low (20/100) — MELK not listed among lupus risk/effector genes. Patient signal: Moderate (60/100), Patient_LFC_mean=1.07079, adjusted p-value=NA, CSC=0. Functional: Low-Moderate (55/100), serine/threonine kinase with PPI_Degree=3 (modest connectivity). Clinical: Low (15/100) — no established SLE targeting; MELK primarily explored in oncology. Evidence: Minimal (20/100) — limited autoimmune-focused studies."
L3MBTL4,-1.05821,0.0361688,0.361006,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,L3MBTL4,HsT1031,-1.05821,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.00027412271348604045,Tier 3,0.00027412271348604045,Tier 3,266,36.0,Low,"Disease specificity: 25 (0-39) — not part of core lupus gene lists. Patient Signal: 55 (50-69) — Patient_LFC_mean = -1.05821, adj P = NA; meets |LFC|≥1 but no p-value reported. Functional: 55 (50-69) — chromatin-associated protein, plausible regulator of transcription but no strong immune network integration (PPI_Degree = NA). Clinical: 10 (0-29) — no known SLE therapeutic targeting. Evidence: 15 (0-29) — limited SLE-specific evidence; lowest priority for clinical follow-up given weak disease specificity and clinical relevance."
EZR,-1.22061,0.000239037,0.0363028,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,EZR,CVIL;CVL;HEL-S-105;VIL2,-1.22061,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,1.0,,,,1.0,0.652,0.652,0.20974574645089905,Tier 3,0.20974574645089905,Tier 3,267,36.0,Medium,"Disease: Low (0-39), score=12 — no strong lupus genetic/biomarker links. Patient signal: Moderate (50-69), score=60 — |LFC|=1.22061, adjusted P=NA, CSC=0, DCS=-1. Functional: Moderate (70-89 mapped to 65 here) — membrane/cytoskeleton linker (ezrin), PPI_Degree=1 indicating some functional importance in cell adhesion/morphology. Clinical: Low (0-29), score=10 — not a validated lupus target. Evidence: Minimal (0-29), score=25 — literature strong for other diseases (e.g., cancer/cell biology) but limited lupus-specific evidence."
CLEC4D,-1.06847,0.0325817,0.346808,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CLEC4D,CD368;CLEC-6;CLEC6;CLECSF8;Dectin-3;MCL;MPCL,-1.06847,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,2.0,0.592,1.184,0.009453501019560342,Tier 3,0.009453501019560342,Tier 3,268,36.0,Low,"Disease: Low specificity for SLE (score 20); CLEC4D is not a recognized lupus driver. Patient Signal: Modest (score 55); Patient_LFC_mean = -1.06847 (adj_P_value = NA), DCS = -1 and no p-value provided. Functional: Pattern-recognition lectin with modest network connectivity (PPI_Degree = 2; functional score 60). Clinical: No direct SLE therapeutic or biomarker status (clinical score 10). Evidence: Limited disease-specific literature (evidence score 40)."
TCL1A,-2.04008,0.0106279,0.212438,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,TCL1A,TCL1,-2.04008,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,1.0,,,,1.0,0.836,0.836,0.2082740129065097,Tier 3,0.2082740129065097,Tier 3,269,36.0,Low,"Disease: Low (10/100) — TCL1A is not a recognized SLE core gene in the provided disease context. Patient signal: Moderate (60/100) — Patient_LFC_mean = -2.04008 (|LFC|≥2) but Patient_adj_P_value = NA so statistical support is incomplete. Functional: Moderate (60/100) — AKT co-activator with immune/B-cell biology relevance but low PPI_Degree = 1. Clinical: Low (15/100) — clinically relevant in hematologic malignancy contexts, not an SLE therapeutic target. Evidence: Moderate (60/100) — literature exists (especially in B-cell neoplasia) but limited SLE-specific evidence."
TCIRG1,1.11985,0.000635275,0.0557306,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,TCIRG1,ATP6N1C;ATP6V0A3;Atp6i;OC-116kDa;OC116;OPTB1;Stv1;TIRC7;Vph1;a3,1.11985,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0038496080613123524,Tier 3,0.0038496080613123524,Tier 3,270,36.0,Low,"Disease specificity: 15/100 (0-39 bracket); TCIRG1 is known for osteoclast/v-ATPase biology rather than SLE. Patient signal: 60/100 (50-69 bracket); |LFC|=1.11985, adjusted p-value=NA (−log10(p) unknown), CSC=0. Functional: 65/100 (50-69 bracket); PPI_Degree=NA but encodes V-ATPase subunit involved in phagosomal acidification which can tangentially affect immune clearance. Clinical: 10/100 (0-29 bracket); no SLE-directed therapies. Evidence: 30/100 (50-69/low-moderate bracket); some mechanistic literature on phagosome function but limited SLE-specific studies."
UBA5,-1.18066,0.00116666,0.0759635,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,UBA5,DEE44;EIEE44;SCAR24;THIFP1;UBE1DC1,-1.18066,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,2.0,0.8775,1.755,0.012625114560183727,Tier 3,0.012625114560183727,Tier 3,271,36.0,Medium,"Disease: Low (15/100) — Gene_Score NA, Disorder_Score NA; not established in SLE genetics. Patient Signal: Moderate (60/100) — |LFC|=1.18066, adj_P_value=NA, CSC=0. Functional: Moderate (68/100) — UBA5 is an E1 for UFM1 (PPI_Degree=2), suggesting regulatory enzymatic function. Clinical: Low (10/100) — no SLE‑focused clinical targeting; Evidence: Low (20/100) for SLE relevance."
LNX2,-1.11729,0.0089673,0.195454,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,LNX2,PDZRN1,-1.11729,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0015113530827134379,Tier 3,0.0015113530827134379,Tier 3,272,36.0,Medium,"Disease specificity: Low (20/100) — not a recognized lupus driver. Patient signal: Modest (55/100); |LFC|=1.11729, adj P=NA, CSC=0, DCS=-1. Functional: Some evidence (65/100); E3 ubiquitin ligase with signaling roles, PPI_Degree=NA. Clinical: Low (10/100) — no SLE clinical development. Evidence: Moderate-low (30/100) in general cell‑signaling studies."
CSDE1,1.51252,0.00030682,0.039498,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CSDE1,D1S155E;UNR,1.51252,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,2.0,0.47850000000000004,0.9570000000000001,0.01568540520462574,Tier 3,0.01568540520462574,Tier 3,273,36.0,Medium,"Disease specificity: 20 (low 0-39) — not a known lupus driver. Patient signal: 60 (50-69) — Patient_LFC_mean = 1.51252, adj_P_value = NA; LFC magnitude meets a moderate threshold though cohort p-value is missing. Functional: 60 (50-69) — PPI_Degree = 2 and CSDE1 (UNR) is an RNA-binding translational regulator with potential effects on immune gene expression. Clinical: 10 (0-29) — no clinical SLE targeting or biomarker role. Evidence: 10 (0-29) — limited disease-specific literature linking CSDE1 to lupus."
VIPR2,1.46272,0.0485943,0.40284,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,VIPR2,C16DUPq36.3;DUP7q36.3;PACAP-R-3;PACAP-R3;VIP-R-2;VPAC2;VPAC2R;VPCAP2R,1.46272,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0006918139111973964,Tier 3,0.0006918139111973964,Tier 3,274,36.0,Low,"Disease specificity: Low (15/100) — not on the SLE gene list provided. Patient signal: Moderate (62/100) — Patient_LFC_mean=1.46272, adj P-value=NA (|LFC|≈1.46). Functional: Some evidence (60/100) — VIPR2 is a GPCR (neuropeptide receptor) with possible immunomodulatory effects; PPI_Degree=NA. Clinical: Low (5/100) — no established SLE therapies targeting VIPR2; Evidence: Moderate (50/100) — limited immunology literature tying VIPR2 to lupus."
OLIG2,2.08883,0.000166974,0.0323667,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,OLIG2,BHLHB1;OLIGO2;PRKCBP2;RACK17;bHLHe19,2.08883,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,1.0,,,,3.0,0.45566666666666666,1.367,0.22401071996266667,Tier 3,0.22401071996266667,Tier 3,275,36.0,Medium,"Disease: 20 (Low, ≤25) — no established SLE association. Patient signal: 68 (Moderate) — |LFC|=2.0888, adj P = NA (−log10(p) unavailable). Functional: 50 (Some evidence) — PPI_Degree=3; a developmental transcription factor with limited immune role. Clinical: 10 (0-29) — no SLE-targeted therapies/biomarker status. Evidence: 10 (limited literature linking OLIG2 to lupus)."
MICAL1,1.15803,0.000136299,0.0287326,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,MICAL1,MICAL;MICAL-1;NICAL,1.15803,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.998,0.998,0.009850788686275213,Tier 3,0.009850788686275213,Tier 3,276,35.0,Low,"Disease: Low (0-39)=20; Gene_Score and Disorder_Score=NA (no specific SLE annotation). Patient signal: Moderate (50-69)=60; |LFC|=1.15803, adj_P_value=NA (CSC=0). Functional: Some evidence (50-69)=50; PPI_Degree=1 and MICAL1 regulates actin dynamics, a noncanonical link to immune cell function. Clinical: Low (0-29)=10; not a known SLE therapeutic target. Evidence: Minimal (0-29)=20; sparse literature connecting MICAL1 to lupus."
RABL3,-1.20144,0.00259201,0.106733,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,RABL3,PNCA5,-1.20144,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,2.0,0.41400000000000003,0.8280000000000001,0.012036101752867524,Tier 3,0.012036101752867524,Tier 3,277,35.0,Low,"Disease specificity: Low (20/100) — not a known lupus driver (Gene_Score/Disorder_Score = NA). Patient signal: Moderate (55/100) with |LFC|=1.201, Patient_adj_P_value=NA, CSC=0, DCS=-1; Functional: Some evidence (60/100) — PPI_Degree=2 suggesting limited connectivity as a Rab‑family GTPase; Clinical: Minimal (10/100); Evidence: Minimal (10/100). The combined profile (score 35/100) indicates limited clinical or mechanistic priority for lupus despite modest expression change."
PTPRM,-1.38474,0.0380038,0.368039,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,PTPRM,PTPRL1;R-PTP-MU;RPTPM;RPTPU;hR-PTPu,-1.38474,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,2.0,0.5375,1.075,0.00987266441569842,Tier 3,0.00987266441569842,Tier 3,278,35.0,Low,"Disease specificity: 20 (no lupus‑specific scores; Gene_Score=NA, Disorder_Score=NA). Patient signal: 55 (|LFC|=1.38474, adjusted p = NA). Functional: 60 (receptor PTP with PPI_Degree=2 indicating modest connectivity). Clinical: 10 (not a clinical SLE target). Evidence: 15 (very limited lupus literature)."
SLC25A6,-1.48254,0.0112593,0.219673,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,SLC25A6,AAC3;ANT;ANT 2;ANT 3;ANT3;ANT3Y,-1.48254,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,5.0,0.6003999999999999,3.002,0.024940523060024512,Tier 3,0.024940523060024512,Tier 3,279,35.0,Medium,Disease specificity: Low (10/100) — no known lupus association. Patient signal: Moderate (60/100) with |LFC|=1.48254 and adjusted p = NA (cohort p-value missing). Functional: Important component (70/100) — PPI_Degree=5 (mitochondrial ADP/ATP carrier with some network links). Clinical: Minimal (10/100). Evidence: Minimal (10/100).
RBFA,-1.43494,0.00786626,0.185538,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,RBFA,C18orf22;HsT169,-1.43494,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,4.0,0.6245,2.498,0.020677428477779383,Tier 3,0.020677428477779383,Tier 3,280,35.0,Low,Disease specificity: 10 (0-39: low/other-disease; not a known lupus driver). Patient signal: 60 (50-69 bracket) with |LFC|=1.43494 and adj_p=NA (moderate fold-change). Functional: 70 (70-89 bracket) supported by PPI_Degree=4 and a role in ribosome/mitochondrial biology suggesting moderate functional relevance. Clinical: 10 (0-29: no SLE-targeted therapy linkage). Evidence: 10 (minimal disease literature for SLE).
KLRC4,-1.29589,0.00177597,0.0930049,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,KLRC4,NKG2-F;NKG2F,-1.29589,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,4.0,0.714,2.856,0.02177362463285375,Tier 3,0.02177362463285375,Tier 3,281,35.0,Low,"Disease specificity: Low (15/100) — no disease Gene/Disorder scores available (NA). Patient signal: Low-Moderate (55/100) — Patient_LFC_mean = -1.29589, adjusted P = NA. Functional: Moderate (70/100) — PPI_Degree = 4, indicating some role in receptor complexes. Clinical: Low (10/100) — no therapeutic or biomarker role in SLE. Evidence: Low (30/100) — sparse literature connecting KLRC4 to lupus."
SELENBP1,-1.18768,0.0213373,0.289598,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,SELENBP1,EHMTO;HEL-S-134P;LPSB;MTO;SBP56;SP56;hSBP,-1.18768,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0009272682488907757,Tier 3,0.0009272682488907757,Tier 3,282,35.0,Low,"Disease specificity: Low (20/100) — SELENBP1 is not a characterized lupus driver in the provided disease context. Patient signal: Moderate (55/100) — Patient_LFC_mean = -1.18768 (|LFC|≥1), adjusted p-value = NA. Functional: Moderate (55/100) — SELENBP1 has known cellular roles (selenium-binding) and PPI data are limited (PPI_Degree = NA). Clinical: Low (10/100) — no SLE-targeted therapeutics. Evidence: Moderate (35/100) — some functional literature but minimal direct SLE association."
NHP2,-1.37907,0.00421457,0.137447,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,NHP2,DKCB2;NHP2P;NOLA2,-1.37907,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,3.0,0.7013333333333334,2.104,0.016662280779204907,Tier 3,0.016662280779204907,Tier 3,283,35.0,Low,"Disease specificity: Low (20/100) — NHP2 is not a known lupus driver or biomarker. Patient signal: Moderate (60/100) — Patient_LFC_mean = -1.37907 (|LFC|≈1.38), adjusted P-value = NA (meets |LFC|≥1 criterion). Functional: Some evidence (55/100) — PPI_Degree = 3 indicates limited connectivity; Clinical: Minimal (10/100); Evidence: Minimal (10/100)."
RPAIN,-8.20738,0.00223506,0.0999697,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,RPAIN,HRIP;RIP,-8.20738,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.029843227210145824,Tier 3,0.029843227210145824,Tier 3,284,35.0,Low,"Disease: Low (15/100) — not a recognized lupus-specific gene. Patient signal: High (95/100), Patient_LFC_mean=-8.20738, adj_P_value=NA (very large magnitude fold-change in this cohort). Functional: Low (20/100) — PPI_Degree=NA and limited network annotation in this dataset. Clinical: Low (10/100) — no clinical relevance established in SLE. Evidence: Low (10/100) — minimal lupus-specific literature."
PI3,-1.85306,0.00583705,0.162288,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,PI3,ESI;SKALP;WAP3;WFDC14;cementoin,-1.85306,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,2.0,0.5445,1.089,0.013166671350944056,Tier 3,0.013166671350944056,Tier 3,285,35.0,Low,"Disease: Low (0-39) assigned 15 — no lupus-specific annotation. Patient signal: Moderate (50-69) assigned 60; |LFC|=1.85306, adj_P=NA (notable fold-change but p-value unavailable). Functional: Moderate (50-69) assigned 60; PPI_Degree=2 showing modest network connectivity but no established SLE mechanism. Clinical: Minimal (0-29) assigned 10 — not a therapeutic target in SLE. Evidence: Minimal (0-29) assigned 20 — sparse evidence linking PI3 to SLE."
POLR1D,-1.01098,0.0178898,0.266748,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,POLR1D,AC19;POLR1C;RPA16;RPA9;RPAC2;RPC16;RPO1-3;TCS2,-1.01098,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,4.0,0.5985,2.394,0.018883640133522367,Tier 3,0.018883640133522367,Tier 3,286,35.0,Low,"Disease: Low (10/100) — no known lupus association. Patient signal: Moderate (60/100); Patient_LFC_mean = -1.01098, adj_P_value = NA (|LFC|≈1.01 → meets |LFC|≥1 criterion). Functional: Moderate (70/100) with PPI_Degree = 4 (component of RNA polymerase I/III complexes, general transcription function). Clinical: Minimal (10/100) — not implicated in SLE clinical programs. Evidence: Minimal (10/100) linking to lupus."
